Transaction_ID,Date,Amount,Original_Category,ZeroShot_Category,ZeroShot_Violation,ZeroShot_Summary,FewShot_Category,FewShot_Violation,FewShot_Summary
TXN-1001,2026-06-30,218.58,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1002,2026-06-23,83.89,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1003,2026-06-10,380.0,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive individual meal cost lacking documentation
TXN-1004,2026-06-24,300.0,Office Supplies,Office Supplies,None,General business expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1005,2026-06-08,314.16,Entertainment,Entertainment,Low,Team social event after work hours,Meals,High,Excessive meal cost without proper justification
TXN-1006,2026-06-15,276.77,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1007,2026-06-28,8.5,Wi-Fi,Wi-Fi,Low,Client site visit internet access,Meals,High,Excessive individual meal cost lacking documentation
TXN-1008,2026-06-18,10.1,Wi-Fi,Wi-Fi,Low,Client site visit internet access,Meals,High,Excessive individual meal cost lacking documentation
TXN-1009,2026-06-07,12.0,Wi-Fi,Wi-Fi,Low,Business travel WiFi usage allowed,Meals,High,Excessive individual meal cost lacking documentation
TXN-1010,2026-06-08,57.99,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1011,2026-06-06,119.55,Entertainment,Entertainment,Low,Business social gathering without client involvement,Meals,High,Excessive meal expense without clear justification
TXN-1012,2026-06-28,102.95,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1013,2026-06-20,631.24,Entertainment,Entertainment,Low,Team social event after work hours,Meals,High,Excessive meal cost without clear justification
TXN-1014,2026-06-22,107.04,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive meal cost without proper justification
TXN-1015,2026-06-11,97.02,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1016,2026-06-09,602.72,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive meal cost without client or attendees
TXN-1017,2026-06-24,35.0,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1018,2026-06-13,1936.0,Entertainment,Entertainment,Low,Team building event expense reported,Meals,High,Excessive individual meal cost without justification
TXN-1019,2026-06-06,93.95,Entertainment,Entertainment,Low,Business meeting expenses incurred,Meals,High,Excessive individual meal cost without justification
TXN-1020,2026-06-26,81.11,Entertainment,Entertainment,Low,Team lunch for team members only,Meals,High,Excessive individual meal cost without justification
TXN-1021,2026-06-07,272.78,Software,Software,Low,Client project software subscription expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1022,2026-06-27,60.43,Entertainment,Entertainment,Low,Stress relief through monthly gym membership,Meals,High,Excessive individual meal cost lacking documentation
TXN-1023,2026-06-19,236.38,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1024,2026-06-16,144.84,Entertainment,Entertainment,Low,Business meeting justification provided,Meals,High,Excessive meal cost without proper justification
TXN-1025,2026-06-28,87.04,Software,Software,Low,Client project software subscription expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1026,2026-06-24,1290.56,Entertainment,Entertainment,Low,Team social event exceeding budget threshold,Meals,High,Excessive individual meal cost without justification
TXN-1027,2026-06-05,174.25,Entertainment,Entertainment,Low,Team social event after project completion,Meals,High,Excessive meal cost without proper justification
TXN-1028,2026-06-20,91.92,Entertainment,Entertainment,Low,Personal wellness services are not reimbursable,Meals,High,Excessive individual meal cost lacking documentation
TXN-1029,2026-06-15,37.88,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1030,2026-06-29,68.83,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1031,2026-06-06,243.8,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1032,2026-06-24,14.2,Wi-Fi,Wi-Fi,Low,Business travel WiFi usage allowed,Meals,High,Excessive individual meal cost lacking documentation
TXN-1033,2026-06-30,188.61,Office Supplies,Office Supplies,Low,Home office equipment purchase justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1034,2026-06-21,142.77,Entertainment,Entertainment,Low,Business meeting expenses incurred,Meals,High,Excessive meal cost without clear justification
TXN-1035,2026-06-29,95.95,Entertainment,Entertainment,Low,Team social event after project completion,Meals,High,Excessive individual meal cost without justification
TXN-1036,2026-06-25,129.1,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1037,2026-06-15,222.8,Office Supplies,Office Supplies,Low,Home office equipment purchase justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1038,2026-06-03,33.02,Meals,Meals,Low,Working late without meal reimbursement approval,Meals,High,Excessive meal cost without proper justification
TXN-1039,2026-06-19,14.99,Wi-Fi,Wi-Fi,Low,Business use of hotel WiFi services,Meals,High,Excessive individual meal cost lacking documentation
TXN-1040,2026-06-14,213.04,Entertainment,Entertainment,Low,Team social event outside work hours,Meals,High,Excessive meal cost without clear justification
TXN-1041,2026-06-14,27.18,Miscellaneous,Miscellaneous,Low,Client Presentation Equipment Upgrade Required,Meals,High,Excessive individual meal cost lacking documentation
TXN-1042,2026-06-13,1449.3,Entertainment,Entertainment,Low,Team social event expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1043,2026-06-19,199.99,Travel,Travel,Low,Unapproved cab fare due to tardiness.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1044,2026-06-26,210.28,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive meal cost without client or attendees
TXN-1045,2026-06-06,1743.44,Entertainment,Entertainment,Low,Team social event expense reported,Meals,High,Excessive individual meal cost lacking documentation
TXN-1046,2026-06-25,16.26,Miscellaneous,Parking,Low,Office parking fee incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1047,2026-06-19,9.99,Wi-Fi,Wi-Fi,Low,Unauthorized personal use of company Wi-Fi,Meals,High,Excessive individual meal cost lacking documentation
TXN-1048,2026-06-26,117.94,Entertainment,Entertainment,Low,Dinner with colleagues is acceptable.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1049,2026-06-19,6.5,Wi-Fi,Wi-Fi,Low,Client project business use of hotel WiFi,Meals,High,Excessive individual meal cost lacking documentation
TXN-1050,2026-06-08,580.52,Entertainment,Entertainment,Low,Team social event after work hours,Meals,High,Excessive meal cost without proper justification
TXN-1051,2026-06-23,247.09,Miscellaneous,Miscellaneous,Low,Unapproved General Purchase Made,Meals,High,Excessive individual meal cost lacking documentation
TXN-1052,2026-06-05,11.25,Wi-Fi,Wi-Fi,Low,Business use of personal airport WiFi,Meals,High,Excessive individual meal cost lacking documentation
TXN-1053,2026-06-28,541.41,Travel,Travel,Low,Internal Training Expenses,Meals,High,Excessive individual meal cost lacking documentation
TXN-1054,2026-06-24,10.99,Meals,Meals,Low,Business breakfast meeting with manager,Meals,High,Excessive meal cost without proper justification
TXN-1055,2026-06-17,179.68,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1056,2026-06-30,1737.68,Entertainment,Entertainment,Low,Team social event exceeding budget threshold,Meals,High,Excessive individual meal cost without justification
TXN-1057,2026-06-06,613.97,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1058,2026-06-09,13.8,Wi-Fi,Wi-Fi,Low,Business use of hotel WiFi services,Meals,High,Excessive individual meal cost lacking documentation
TXN-1059,2026-06-04,264.91,Miscellaneous,Miscellaneous,Low,Unapproved General Purchase Made,Meals,High,Excessive individual meal cost lacking documentation
TXN-1060,2026-06-20,251.6,Office Supplies,Office Supplies,None,Desk equipment replacement justification provided,Meals,High,Excessive individual meal cost lacking documentation
TXN-1061,2026-06-10,205.23,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1062,2026-06-28,284.24,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1063,2026-06-02,480.0,Office Supplies,Office Supplies,None,Furniture purchase for office space renovation,Meals,High,Excessive individual meal cost lacking documentation
TXN-1064,2026-06-10,1403.1,Entertainment,Entertainment,Low,Team party with multiple attendees involved,Meals,High,Excessive individual meal cost without justification
TXN-1065,2026-06-05,525.96,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive meal cost without client or attendees
TXN-1066,2026-06-18,371.02,Travel,Travel,Low,Internal Training Expenses,Meals,High,Excessive individual meal cost lacking documentation
TXN-1067,2026-06-28,19.63,Meals,Meals,Low,Office snacks during meeting,Meals,High,Excessive meal cost without proper justification
TXN-1068,2026-06-09,48.78,Entertainment,Entertainment,Low,Personal wellness services are not reimbursable,Meals,High,Excessive individual meal cost lacking documentation
TXN-1069,2026-06-20,137.2,Entertainment,Entertainment,Low,Unapproved work-related entertainment expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1070,2026-06-07,248.21,Miscellaneous,Miscellaneous,Low,Unapproved General Purchase Made,Meals,High,Excessive individual meal cost lacking documentation
TXN-1071,2026-06-23,117.2,Entertainment,Entertainment,Low,Personal fitness expenses are not reimbursable.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1072,2026-06-11,249.12,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1073,2026-06-03,55.56,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1074,2026-06-19,200.0,Miscellaneous,Miscellaneous,Low,Personal expense without clear business justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1075,2026-06-07,253.58,Miscellaneous,Miscellaneous,Low,Unspecified expense category submitted,Meals,High,Excessive meal cost without clear justification
TXN-1076,2026-06-20,7.4,Wi-Fi,Wi-Fi,Low,Remote work internet access justification provided,Meals,High,Excessive individual meal cost lacking documentation
TXN-1077,2026-06-25,591.96,Travel,Travel,Low,Internal Training Expenses,Meals,High,Excessive individual meal cost lacking documentation
TXN-1078,2026-06-26,200.0,Travel,Travel,None,Business travel expenses are allowed.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1079,2026-06-21,125.8,Miscellaneous,Miscellaneous,Low,Business data plan for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1080,2026-06-23,180.44,Travel,Travel,Low,Client site visit transportation costs incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1081,2026-06-28,14.48,Meals,Meals,Low,Unapproved meal expense for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1082,2026-06-22,319.12,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1083,2026-06-17,73.11,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1084,2026-06-04,69.97,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1085,2026-06-15,37.73,Meals,Meals,Low,Unapproved meal expense for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1086,2026-06-05,507.62,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1087,2026-06-07,28.5,Travel,Travel,None,Client Engagement Expenses Covered Separately,Meals,High,Excessive individual meal cost lacking documentation
TXN-1088,2026-06-20,191.58,Entertainment,Entertainment,Low,Welcoming new team member with team lunch,Meals,High,Excessive meal cost without proper justification
TXN-1089,2026-06-20,122.31,Entertainment,Entertainment,Low,Business dinner expense reported,Meals,High,Excessive individual meal cost lacking documentation
TXN-1090,2026-06-29,140.83,Miscellaneous,Miscellaneous,Low,Client Presentation Equipment Upgrade Required,Meals,High,Excessive individual meal cost lacking documentation
TXN-1091,2026-06-02,108.85,Travel,Travel,Low,Unapproved cab fare due to tardiness.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1092,2026-06-28,9.34,Meals,Meals,Low,Unapproved meal expense for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1093,2026-06-28,22.75,Travel,Travel,None,Expense submitted with supporting documentation,Meals,High,Excessive individual meal cost lacking documentation
TXN-1094,2026-06-01,161.37,Miscellaneous,Miscellaneous,Low,Business data plan expense incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1095,2026-06-05,518.73,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1096,2026-06-07,250.0,Miscellaneous,Miscellaneous,None,Business expense category is correctly identified.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1097,2026-06-15,254.64,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1098,2026-06-20,1768.32,Entertainment,Entertainment,Low,Company-sponsored social event for team members.,Meals,High,Excessive individual meal cost lacking documentation
TXN-1099,2026-06-05,86.52,Miscellaneous,Miscellaneous,Low,Contract document postage expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1100,2026-06-21,169.44,Entertainment,Entertainment,Low,Personal dining expense without business partner,Meals,High,Excessive individual meal cost lacking documentation
TXN-1101,2026-06-22,249.21,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1102,2026-06-18,294.71,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive meal cost without proper justification
TXN-1103,2026-06-27,480.76,Entertainment,Entertainment,Low,Team social event exceeding budget threshold,Meals,High,Excessive meal cost without proper justification
TXN-1104,2026-06-14,95.0,Entertainment,Entertainment,Low,Client meeting dinner expense submitted,Meals,High,Excessive individual meal cost lacking documentation
TXN-1105,2026-06-05,442.28,Miscellaneous,Miscellaneous,Low,Business travel expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1106,2026-06-05,95.27,Office Supplies,Office Supplies,None,Desk equipment replacement justification provided,Meals,High,Excessive individual meal cost lacking documentation
TXN-1107,2026-06-25,33.6,Meals,Meals,Low,Working late without meal reimbursement approval,Meals,High,Excessive individual meal cost lacking documentation
TXN-1108,2026-06-20,1684.31,Entertainment,Entertainment,Low,Sales team celebration expense reported,Meals,High,Excessive individual meal cost without justification
TXN-1109,2026-06-12,34.56,Meals,Meals,Low,Business breakfast meeting with manager,Meals,High,Excessive individual meal cost lacking documentation
TXN-1110,2026-06-28,97.82,Meals,Meals,Low,Business meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1111,2026-06-17,51.56,Miscellaneous,Miscellaneous,Low,Business data plan expense incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1112,2026-06-29,324.12,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive meal cost without client or attendees
TXN-1113,2026-06-22,156.52,Software,Software,Low,Client project software subscription expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1114,2026-06-27,81.84,Miscellaneous,Miscellaneous,Low,Unapproved personal training expense incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1115,2026-06-22,143.87,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1116,2026-06-06,21.8,Miscellaneous,Miscellaneous,Low,Business data plan for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1117,2026-06-09,270.8,Entertainment,Entertainment,Low,Business meeting with team members,Meals,High,Excessive individual meal cost lacking documentation
TXN-1118,2026-06-02,296.16,Office Supplies,Office Supplies,None,Desk equipment replacement justification provided,Meals,High,Excessive individual meal cost lacking documentation
TXN-1119,2026-06-08,59.16,Entertainment,Entertainment,Low,Welcoming new employee with team lunch expense,Meals,High,Excessive meal cost without proper justification
TXN-1120,2026-06-14,97.56,Office Supplies,Office Supplies,Low,Home office equipment purchase justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1121,2026-06-06,645.14,Travel,Travel,Low,Unapproved business trip to Frankfurt,Meals,High,Excessive individual meal cost lacking documentation
TXN-1122,2026-06-23,82.91,Entertainment,Entertainment,Low,Client meeting over coffee expenses incurred,Meals,High,Excessive meal cost without client or attendees
TXN-1123,2026-06-25,148.52,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1124,2026-06-08,508.25,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1125,2026-06-13,345.96,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1126,2026-06-05,125.68,Office Supplies,Office Supplies,None,Office supplies purchased for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1127,2026-06-12,131.64,Software,Software,Low,Internal software subscription for team use,Meals,High,Excessive individual meal cost lacking documentation
TXN-1128,2026-06-10,292.6,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1129,2026-06-24,14.12,Meals,Meals,Low,Business breakfast meeting with manager,Meals,High,Excessive meal cost without proper justification
TXN-1130,2026-06-19,412.43,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1131,2026-06-06,204.35,Office Supplies,Office Supplies,None,Office supplies purchased for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1132,2026-06-26,1303.55,Entertainment,Entertainment,Low,Team social event for operations staff,Meals,High,Excessive individual meal cost without justification
TXN-1133,2026-06-21,31.18,Meals,Meals,Low,Unapproved meal expense for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1134,2026-06-21,211.78,Miscellaneous,Miscellaneous,Low,Unapproved miscellaneous expense claim submitted,Meals,High,Excessive individual meal cost lacking documentation
TXN-1135,2026-06-03,350.75,Office Supplies,Office Supplies,Low,Unauthorized office equipment purchase,Meals,High,Excessive individual meal cost lacking documentation
TXN-1136,2026-06-01,459.19,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1137,2026-06-12,248.19,Travel,Travel,Low,Client meeting transportation costs incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1138,2026-06-05,23.4,Meals,Meals,Low,Unapproved meal expense for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1139,2026-06-21,208.6,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1140,2026-06-20,294.17,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1141,2026-06-07,125.31,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1142,2026-06-17,18.76,Meals,Meals,Low,Unapproved work-related meal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1143,2026-06-14,79.01,Entertainment,Entertainment,Low,Team lunch for team members only,Meals,High,Excessive individual meal cost without justification
TXN-1144,2026-06-10,96.18,Miscellaneous,Miscellaneous,None,Personal wellness services are allowed,Meals,High,Excessive individual meal cost lacking documentation
TXN-1145,2026-06-08,425.0,Office Supplies,Office Supplies,None,Ergonomic furniture upgrade request approved,Meals,High,Excessive individual meal cost lacking documentation
TXN-1146,2026-06-05,442.28,Miscellaneous,Miscellaneous,Low,Business travel expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1147,2026-06-13,204.88,Office Supplies,Office Supplies,Low,Hybrid work setup expense justification provided,Meals,High,Excessive individual meal cost lacking documentation
TXN-1148,2026-06-21,166.56,Software,Software,None,Annual software license renewal expense,Meals,High,Excessive individual meal cost lacking documentation
TXN-1149,2026-06-13,38.2,Travel,Travel,None,Client Engagement Expenses Covered Separately,Meals,High,Excessive individual meal cost lacking documentation
TXN-1150,2026-06-30,9.92,Meals,Meals,Low,Office snacks during meeting,Meals,High,Excessive meal cost without proper justification
TXN-1151,2026-06-10,190.0,Entertainment,Entertainment,Low,Team social event after work hours,Meals,High,Excessive individual meal cost lacking documentation
TXN-1152,2026-06-02,19.9,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1153,2026-06-27,91.76,Meals,Meals,Low,Business meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1154,2026-06-02,448.95,Office Supplies,Office Supplies,None,Office supplies purchased for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1155,2026-06-09,280.35,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1156,2026-06-28,86.43,Office Supplies,Office Supplies,None,Office supplies purchased for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1157,2026-06-29,39.08,Meals,Meals,Low,Unapproved meal expense for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1158,2026-06-29,40.28,Miscellaneous,Parking,Low,Client Site Visit Parking Fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1159,2026-06-12,291.82,Travel,Travel,Low,Client site visit transportation costs incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1160,2026-06-09,163.21,Miscellaneous,Miscellaneous,Low,Business data plan expense incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1161,2026-06-13,299.99,Office Supplies,Office Supplies,None,Furniture purchase for office space renovation,Meals,High,Excessive individual meal cost lacking documentation
TXN-1162,2026-06-22,266.83,Miscellaneous,Miscellaneous,Low,Unapproved miscellaneous expense claim submitted,Meals,High,Excessive individual meal cost lacking documentation
TXN-1163,2026-06-02,67.92,Software,Software,Low,Monthly software subscription renewal fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1164,2026-06-12,228.65,Office Supplies,Office Supplies,Low,Chair purchase justified by medical need,Meals,High,Excessive individual meal cost lacking documentation
TXN-1165,2026-06-25,236.8,Office Supplies,Office Supplies,Low,Home office equipment purchase justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1166,2026-06-29,171.63,Miscellaneous,Miscellaneous,Low,Client Presentation Equipment Upgrade Required,Meals,High,Excessive individual meal cost lacking documentation
TXN-1167,2026-06-01,210.41,Office Supplies,Office Supplies,None,Office supplies purchased for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1168,2026-06-24,460.5,Office Supplies,Office Supplies,Low,Improper use of company funds for personal item,Meals,High,Excessive individual meal cost lacking documentation
TXN-1169,2026-06-01,91.77,Entertainment,Entertainment,Low,Team dinner after project completion,Meals,High,Excessive meal cost without proper justification
TXN-1170,2026-06-12,18.86,Meals,Meals,Low,Working late without meal reimbursement approval,Meals,High,Excessive meal cost without proper justification
TXN-1171,2026-06-28,136.51,Miscellaneous,Parking,Low,Client Site Visit Parking Fee,Meals,High,Excessive individual meal cost lacking documentation
TXN-1172,2026-06-10,39.26,Meals,Meals,Low,Business breakfast meeting with manager,Meals,High,Excessive meal cost without proper justification
TXN-1173,2026-06-29,484.13,Travel,Travel,Low,Internal Training Expenses,Meals,High,Excessive individual meal cost lacking documentation
TXN-1174,2026-06-25,154.37,Entertainment,Entertainment,Low,Team dinner after project completion,Meals,High,Excessive individual meal cost without justification
TXN-1175,2026-06-18,1109.55,Entertainment,Entertainment,Low,Team social event expense reported,Meals,High,Excessive individual meal cost lacking documentation
TXN-1176,2026-06-07,337.08,Office Supplies,Office Supplies,None,Desk equipment replacement justification provided,Meals,High,Excessive individual meal cost lacking documentation
TXN-1177,2026-06-15,427.85,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive individual meal cost lacking documentation
TXN-1178,2026-06-12,490.77,Entertainment,Entertainment,Low,Team party expenses exceeded budget limits slightly,Meals,High,Excessive meal cost without proper justification
TXN-1179,2026-06-07,126.03,Travel,Travel,Low,Business travel to client location,Meals,High,Excessive individual meal cost lacking documentation
TXN-1180,2026-06-26,141.22,Entertainment,Entertainment,Low,Business dinner expense reported,Meals,High,Excessive individual meal cost lacking documentation
TXN-1181,2026-06-15,11.21,Meals,Meals,Low,Unapproved office snacks during event,Meals,High,Excessive meal cost without proper justification
TXN-1182,2026-06-20,41.87,Meals,Meals,Low,Business breakfast meeting with manager,Meals,High,Excessive meal cost without proper justification
TXN-1183,2026-06-08,30.83,Meals,Meals,Low,Business breakfast meeting with manager,Meals,High,Excessive individual meal cost lacking documentation
TXN-1184,2026-06-23,14.18,Meals,Meals,Low,Working late without meal reimbursement approval,Meals,High,Excessive meal cost without proper justification
TXN-1185,2026-06-03,410.2,Office Supplies,Office Supplies,None,Ergonomic furniture upgrade request approved,Meals,High,Excessive individual meal cost lacking documentation
TXN-1186,2026-06-20,251.61,Entertainment,Entertainment,Low,Group social gathering expense reported,Meals,High,Excessive individual meal cost lacking documentation
TXN-1187,2026-06-05,163.46,Entertainment,Entertainment,Low,Team dinner after project completion,Meals,High,Excessive meal cost without proper justification
TXN-1188,2026-06-04,480.0,Office Supplies,Office Supplies,None,Furniture purchase for office space renovation,Meals,High,Excessive individual meal cost lacking documentation
TXN-1189,2026-06-11,31.4,Travel,Travel,None,Client Engagement Expenses Covered,Meals,High,Excessive individual meal cost lacking documentation
TXN-1190,2026-06-20,49.03,Entertainment,Entertainment,Low,Personal business meeting with colleagues,Meals,High,Excessive meal expense without clear justification
TXN-1191,2026-06-07,425.21,Office Supplies,Office Supplies,None,Office supplies purchased for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1192,2026-06-16,2011.35,Entertainment,Entertainment,Low,Team celebration for finance quarterly review,Meals,High,Excessive individual meal cost lacking documentation
TXN-1193,2026-06-21,218.05,Office Supplies,Office Supplies,Low,Home office equipment purchase justification,Meals,High,Excessive individual meal cost lacking documentation
TXN-1194,2026-06-02,247.5,Entertainment,Entertainment,Low,Client meeting expenses incurred,Meals,High,Excessive meal cost without client context
TXN-1195,2026-06-13,400.0,Miscellaneous,Miscellaneous,Low,Unapproved General Purchase Made,Meals,High,Excessive individual meal cost lacking documentation
TXN-1196,2026-06-28,24.6,Travel,Travel,None,Expense submitted with supporting documentation,Meals,High,Excessive individual meal cost lacking documentation
TXN-1197,2026-06-06,340.08,Entertainment,Entertainment,Low,Client entertainment expenses are allowed,Meals,High,Excessive meal cost without client or attendees
TXN-1198,2026-06-17,391.55,Office Supplies,Office Supplies,None,Office supplies purchased for work purposes,Meals,High,Excessive individual meal cost lacking documentation
TXN-1199,2026-06-12,181.06,Meals,Meals,Low,Dinner for two employees,Meals,High,Excessive individual meal cost lacking documentation
TXN-1200,2026-06-21,350.75,Office Supplies,Office Supplies,Low,Unauthorized office equipment purchase,Meals,High,Excessive individual meal cost lacking documentation
