id,employee_category,corrected_category,amount,description,violation,reasoning,execution_time_sec
TXN-1074,Miscellaneous,Personal expense,200.00,Other,High,"The transaction description 'Other' is vague and does not provide a clear business purpose. According to the policy, generic labels such as 'Misc', 'Other', or 'expense' are not acceptable in the Miscellaneous category. Furthermore, the employee claimed this expense under the Miscellaneous category, which is only eligible for senior-level employees and requires tight documentation. The description does not specify what was purchased or why, indicating a personal expense rather than a legitimate business cost.",22.51
TXN-1075,Miscellaneous,Miscellaneous,253.58,various,Low,"The transaction description 'various' is vague and does not meet the policy's documentation requirement for the Miscellaneous category. However, it does not explicitly indicate a personal expense or violate any other policy restrictions.",12.73
TXN-1076,Wi-Fi,Wi-Fi/Connectivity,7.40,Local data/WiFi hotspot for remote work day,None,"The transaction description 'Local data/WiFi hotspot for remote work day' matches the policy definition of Wi-Fi/Connectivity, which is the only eligible category for Junior-level employees. The amount of $7.40 does not exceed the cap of $15.",19.53
TXN-1077,Travel,Travel,591.96,"4-day travel for internal training in Frankfurt; includes train, 3 nights hotel",None,"The transaction description mentions '4-day travel for internal training in Frankfurt; includes train, 3 nights hotel', which aligns with the policy's definition of Travel. The employee claimed category was incorrect, but the actual category is Travel.",16.36
TXN-1078,Travel,Miscellaneous,200.00,expense,Low,"The transaction description 'expense' is vague and does not provide a clear business purpose. According to the policy, Miscellaneous expenses are allowed without limitation, but they must still have a describable business purpose. Since this expense lacks any details about its business purpose or client/project tie-in, it is categorized as Miscellaneous with a Low violation level.",16.95
TXN-1079,Miscellaneous,Wi-Fi / Connectivity,125.80,SIM card / local data plan for business trip,None,The transaction description 'SIM card / local data plan for business trip' matches the policy definition of a Junior-Eligible Expense under Wi-Fi/Connectivity category. This expense is permitted for junior employees and does not exceed any spending caps or limits.,18.08
TXN-1080,Travel,Travel,180.44,Train ticket for 1-day client site visit,None,"The transaction description 'Train ticket for 1-day client site visit' indicates a business-related expense, specifically travel to a client site. This matches the policy definition of Travel expenses, which are eligible for reimbursement.",20.17
TXN-1081,Meals,Meals,14.48,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",53.11
TXN-1082,Entertainment,Client Entertainment,319.12,Coffee/meal with client contact (4 people) following a successful sprint demo,None,"The transaction description mentions a 'client contact' and a 'sprint demo', indicating that the expense is related to client entertainment. The policy allows for Client Entertainment expenses, which can be submitted by employees at any level.",14.05
TXN-1083,Software,Software & Subscriptions,73.11,Software subscription - annual license renewal for the department,None,"The transaction description 'annual license renewal for the department' indicates a business justification is required, which aligns with the Software & Subscriptions category. The employee claimed category was 'Software', but this is not accurate according to the policy text.",10.69
TXN-1084,Software,Software & Subscriptions,69.97,Software subscription - annual license renewal for the department,None,"The transaction description 'Software subscription - annual license renewal for the department' matches the policy definition for Software & Subscriptions, which requires a business justification. The employee claimed category was inaccurate and has been corrected.",8.77
TXN-1085,Meals,Meals,37.73,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",10.25
TXN-1086,Travel,Travel,507.62,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",None,"The transaction description mentions a '4-day onsite client engagement' which indicates that the travel is for business purposes. The policy allows for reasonable and documented transport costs, including flights and hotel stays. Therefore, the corrected category is Travel.",11.94
TXN-1087,Travel,Travel,28.50,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,The transaction description mentions a '2-day onsite client engagement' which indicates that the travel is for business purposes and related to a specific client. This matches the policy definition of Client-billable expenses under the Travel category.,11.91
TXN-1088,Entertainment,Meals,191.58,Team lunch 3 of us to welcome a new team member,None,"The transaction description 'Team lunch 3 of us to welcome a new team member' indicates a meal for employees, which falls under the Meals category. The policy allows meals up to $100 per person, and this amount ($191.58) exceeds the cap by $91.58. However, since there is no indication that alcohol was served or that it's a client dinner/team event, it does not fall under Entertainment.",17.83
TXN-1089,Entertainment,Entertainment,122.31,Dinner,None,"The transaction description 'Dinner' matches the policy definition for Entertainment, which includes client dinners. The employee's claimed category was incorrect, but the true category is clearly defined by the policy.",17.3
TXN-1090,Miscellaneous,Software & Subscriptions,140.83,Small hardware adapter needed for client presentation,None,"The transaction description mentions a 'small hardware adapter needed for client presentation', which falls under the category of Software & Subscriptions. This category is eligible for reimbursement up to $500 per single transaction without prior approval, and since the amount ($140.83) is below this threshold, there are no policy restrictions or allowances that apply.",15.58
TXN-1091,Travel,Ground Transport,108.85,"Cab ride, was running late for the client meeting",None,"The transaction description 'Cab ride, was running late for the client meeting' indicates a transportation expense related to business travel. According to policy (Section 3.3), such expenses are categorized as Ground Transport. The amount of $108.85 is within the allowed cap of $40/instance for Manager-level employees.",15.5
TXN-1092,Meals,Meals,9.34,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",13.24
TXN-1093,Travel,Meals & Entertainment,22.75,Expense - receipt attached,None,"The transaction description 'Expense - receipt attached' indicates a meal-related expense, which falls under the Meals & Entertainment category. The policy requires receipts for expenses over $25, and this transaction meets that requirement.",17.31
TXN-1094,Miscellaneous,Wi-Fi / Connectivity,161.37,SIM card / local data plan for business trip,None,The transaction description 'SIM card / local data plan for business trip' matches the policy definition of a Junior-Eligible Expense under Wi-Fi/Connectivity category. This expense is permitted for junior employees and does not exceed any spending caps or limits.,13.08
TXN-1095,Travel,Travel,518.73,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",None,"The transaction description '5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately' indicates a business trip with multiple components (flights, hotel, meals). According to policy, this is a valid expense under the Travel category. The fact that meals are billed separately does not change the primary categorization of this transaction.",14.57
TXN-1096,Miscellaneous,Miscellaneous,250.00,expense,None,"The transaction description 'expense' matches the Miscellaneous category definition in Section 7.6, which allows for legitimate one-off business costs that do not fit any other category.",13.07
TXN-1097,Software,Software & Subscriptions,254.64,Software subscription - annual license renewal for the department,None,"The transaction description 'annual license renewal for the department' indicates a business justification is required, which aligns with the Software & Subscriptions category. The employee claimed category was 'Software', but this is not accurate according to the policy text.",12.13
TXN-1098,Entertainment,Team Parties / Company Events,1768.32,"Team party for Finance - a group of 32, end-of-project wrap party",None,"The transaction description mentions a 'team party for Finance - a group of 32, end-of-project wrap party', which aligns with the policy definition for Team Parties / Company Events. The category cap is $100 per person ceiling; however, since there are 32 attendees, this expense exceeds the individual limit but does not violate any other rules.",19.83
TXN-1099,Miscellaneous,Miscellaneous,86.52,Postage for signed contract documents,None,"The transaction description 'Postage for signed contract documents' matches the policy definition for Miscellaneous claims, which require a specific, concrete description of what was purchased and why. The employee's claimed category was incorrect, but the provided justification aligns with the corporate policy.",14.08
TXN-1100,Entertainment,Meals & Client Entertainment,169.44,Dinner for 2,Low,"The transaction description 'Dinner for 2' indicates a meal claim, which is eligible only for employees at Manager level and above. However, the policy allows reimbursement up to $100 per person, per occasion, making this a low-level violation.",13.65
TXN-1101,Travel,Travel,249.21,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,The transaction description mentions a '2-day onsite client engagement' which indicates that the travel is for business purposes and related to a specific client. This matches the policy definition of Client-Billable expenses under the Travel category.,11.13
TXN-1102,Software,Software & Subscriptions,294.71,"Software subscription - design/collaboration tool, monthly seat renewal",None,"The transaction description mentions a 'software subscription - design/collaboration tool, monthly seat renewal', which aligns with the policy definition for Software & Subscriptions (Section 7.7). The employee's claimed category was inaccurate, but the correct category is clearly defined by the item description.",15.21
TXN-1103,Entertainment,Team Events / Company Parties,480.76,"Organized team party 17 of us, casual Friday team party",Low,"The transaction description 'Organized team party 17 of us, casual Friday team party' matches the policy definition for Team Events / Company Parties. However, since the employee is a Senior (not Manager level or above), this is a low-level violation due to the hosting-rights rule.",19.23
TXN-1104,Entertainment,Client Entertainment,95.00,"Dinner with client team (1 person, no guests) to finalize Q3 proposal",None,"The transaction description 'Dinner with client team (1 person, no guests) to finalize Q3 proposal' indicates a business meal with clients, which falls under the Client Entertainment category. The policy allows for Client Entertainment claims by employees at Manager level and above, but does not specify any caps or limits for this category.",17.37
TXN-1105,Miscellaneous,Travel,442.28,Trip cost,None,"The transaction description 'Trip cost' matches the policy definition for Travel expenses, which includes costs associated with business travel. The employee claimed category was Miscellaneous, but this is not accurate based on the provided information.",13.54
TXN-1106,Office Supplies,Office Supplies,95.27,Replacement keyboard and mouse for desk setup,None,"The transaction description 'Replacement keyboard and mouse for desk setup' matches the policy definition of Office Supplies, which includes home-office equipment. The employee is senior level, so they are eligible for this category. The amount $95.27 is below the single-transaction limit of $500.",13.59
TXN-1107,Meals,Meals,33.60,Solo lunch while working late on month-end close,Low,"The employee claimed a solo lunch while working late on month-end close, which is reimbursable up to $40 for Manager-level employees and above. However, the employee's level is not specified in this transaction, but based on the policy, it seems that Senior employees are not eligible for Meals claims. Therefore, this is considered a Low violation.",14.32
TXN-1108,Entertainment,Team Events,1684.31,"Team party for Sales - 43 of us, Q2 close celebration",Medium,"The transaction description 'Team party for Sales - 43 of us, Q2 close celebration' indicates a team event. According to the policy, Junior employees are not eligible to organize or file claims for team parties, regardless of the amount or how reasonable the per-person cost looks. This is a hosting-rights rule, not a spending-cap rule.",19.71
TXN-1109,Meals,Meals & Client Entertainment,34.56,Breakfast meeting with manager to review weekly priorities (2 people),None,"The transaction description mentions a 'breakfast meeting with manager to review weekly priorities', which implies a business purpose. The policy allows meal claims for employees at Manager level and above, and this employee is likely at that level or higher. Therefore, the corrected category is Meals & Client Entertainment.",13.9
TXN-1110,Meals,Meals & Client Entertainment,97.82,Project discussion,None,"The transaction description 'Project discussion' suggests a meal-related expense, and the employee is at Manager level. According to policy, meals during travel are claimed separately under the Meals category, subject to certain rules.",17.52
TXN-1111,Miscellaneous,Wi-Fi / Connectivity,51.56,SIM card / local data plan for business trip,None,The transaction description 'SIM card / local data plan for business trip' matches the policy definition of a Junior-Eligible Expense under Wi-Fi/Connectivity category. This expense is permitted for junior employees and does not exceed any spending caps or limits.,12.92
TXN-1112,Entertainment,Meals & Client Entertainment,324.12,Dinner with client team 3 of us to finalize Q3 proposal,None,"The transaction description 'Dinner with client team 3 of us to finalize Q3 proposal' indicates a business purpose related to a client, which aligns with the policy definition for Meals & Client Entertainment. The employee's level is not specified in the provided data, but according to the policy, Manager level and above are eligible to submit meal claims. Therefore, no violation is identified.",16.91
TXN-1113,Software,Software & Subscriptions,156.52,Software subscription - used for client project deliverables,None,"The transaction description 'Software subscription - used for client project deliverables' matches the policy definition in Section 7.7, which states that recurring software and SaaS subscriptions are reimbursable when there is a genuine work use, stated in the justification.",13.13
TXN-1114,Miscellaneous,Personal & Non-Reimbursable Expenses,81.84,Personal training session,High,"The transaction description 'Personal training session' indicates a personal expense that primarily benefits the employee, which is not allowed for reimbursement. According to policy, employees are expected to use their own payment methods for personal spending.",15.91
TXN-1115,Software,Software & Subscriptions,143.87,Software subscription - annual license renewal for the department,None,"The transaction description 'Software subscription - annual license renewal for the department' matches the policy definition for Software & Subscriptions, which requires a business justification. The employee claimed category was inaccurate and has been corrected.",11.8
TXN-1116,Miscellaneous,Wi-Fi / Connectivity,21.80,SIM card / local data plan for business trip,None,The transaction description 'SIM card / local data plan for business trip' matches the policy definition of a Junior-Eligible Expense under Wi-Fi/Connectivity category. This expense is permitted for junior employees and does not exceed any spending caps or limits.,12.79
TXN-1117,Entertainment,Meals,270.80,Team lunch (4 people) to plan next quarter's roadmap,None,"The transaction description 'Team lunch (4 people) to plan next quarter's roadmap' indicates a group meal, which is reimbursable under the Meals category. The policy allows for reimbursement of meals up to $100 per person, and since there are 4 attendees, the total amount of $270.80 does not exceed this limit.",20.35
TXN-1118,Office Supplies,Office Supplies,296.16,Replacement keyboard and mouse for desk setup,None,"The transaction description 'Replacement keyboard and mouse for desk setup' matches the policy definition of Office Supplies, which includes home-office equipment. The employee is senior level, so they are eligible for this category. The amount $296.16 is below the single-transaction limit of $500.",13.22
TXN-1119,Entertainment,Meals,59.16,Team lunch a group of 2 to welcome a new team member,None,"The transaction description 'Team lunch a group of 2 to welcome a new team member' indicates a meal-related expense, which falls under the policy category 'Meals'. The amount $59.16 is below the cap for meals ($100 per person), and there are no other restrictions or requirements that would make this an invalid claim.",19.9
TXN-1120,Office Supplies,Office Supplies,97.56,Monitor for hybrid home/office setup,None,"The transaction description 'Monitor for hybrid home/office setup' matches the policy definition of Office Supplies, which includes home-office equipment. The amount $97.56 is below the single-transaction limit of $500.",12.69
TXN-1121,Travel,Travel,645.14,"5-day travel for internal training in Frankfurt; includes train, 4 nights hotel",None,"The transaction description '5-day travel for internal training in Frankfurt; includes train, 4 nights hotel' matches the policy definition for Travel (per trip) category. The amount of $645.14 is within the spending cap of $2,500.",16.19
TXN-1122,Entertainment,Meals & Client Entertainment,82.91,Coffee/meal with client contact just me to walk through Q3 deliverables,None,"The transaction description 'Coffee/meal with client contact just me to walk through Q3 deliverables' indicates a business meal with a client, which falls under the Meals & Client Entertainment category. The employee is at Manager level and above, so they are eligible to submit this expense.",18.37
TXN-1123,Travel,Travel,148.52,"4-day onsite client engagement; covers flights and 3 nights hotel, meals billed separately",None,"The transaction description mentions a '4-day onsite client engagement' which indicates that the travel is for business purposes. The policy allows for reasonable and documented transport costs, including flights and hotel stays. Therefore, the corrected category is Travel.",13.97
TXN-1124,Travel,Travel,508.25,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",None,"The transaction description '5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately' indicates a business trip with multiple components (flights, hotel, meals). According to policy, this is a valid expense under the Travel category. The fact that meals are billed separately does not change the primary categorization of this transaction.",21.99
TXN-1125,Entertainment,Meals & Client Entertainment,345.96,Coffee/meal with client contact a group of 4 to review project milestones,None,"The transaction description 'Coffee/meal with client contact a group of 4 to review project milestones' indicates a business meal with clients, which falls under the Meals & Client Entertainment category. The employee claimed it as Entertainment, but based on the policy text, this is a correct categorization.",23.37
TXN-1126,Office Supplies,Office Supplies,125.68,Printer paper and toner for the office,None,"The transaction description 'Printer paper and toner for the office' matches the policy definition of Office Supplies, which includes 'office supplies and home-office equipment (desks, chairs, monitors, basic peripherals, stationery)' as reimbursable up to $500 per single transaction without prior approval.",24.26
TXN-1127,Software,Software & Subscriptions,131.64,Software subscription - internal tooling for the team,None,"The transaction description 'Software subscription - internal tooling for the team' matches Section 7.7, which states that recurring software and SaaS subscriptions are reimbursable when there is a genuine work use, stated in the justification. The employee's claim meets this condition as it mentions 'internal tooling for the team', indicating a business purpose.",21.83
TXN-1128,Entertainment,Client Entertainment,292.60,Coffee/meal with client contact team of 4 to walk through Q3 deliverables,None,"The transaction description mentions a 'client contact team of 4' and the purpose is to walk through Q3 deliverables, which indicates that this expense is related to client entertainment. The policy allows Client Entertainment expenses up to $100 per person.",17.95
TXN-1129,Meals,Meals & Client Entertainment,14.12,Breakfast meeting with manager to review weekly priorities (2 people),None,"The transaction description mentions a 'breakfast meeting with manager to review weekly priorities', which implies a business purpose. The policy allows meal claims for employees at Manager level and above, and this employee is likely at that level or higher. Therefore, the corrected category is Meals & Client Entertainment.",15.4
TXN-1130,Travel,Travel,412.43,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",None,"The transaction description mentions a '3-day onsite client engagement' which indicates that the travel is for business purposes. The policy allows for reasonable and documented transport expenses, including flights and hotel stays. Therefore, the corrected category is Travel.",15.46
TXN-1131,Office Supplies,Office Supplies,204.35,Printer paper and toner for the office,None,"The transaction description 'Printer paper and toner for the office' matches the policy definition of Office Supplies, which includes 'office supplies and home-office equipment (desks, chairs, monitors, basic peripherals, stationery)' as reimbursable up to $500 per single transaction without prior approval.",14.37
TXN-1132,Entertainment,Team Parties / Company Events,1303.55,"Team party for Operations - team of 31, new hire welcome party",None,"The transaction description mentions a 'team party for Operations - team of 31, new hire welcome party', which aligns with the policy definition for Team Parties / Company Events. This category is available to Manager, Executive, Director only, but since the employee's role is not specified in this context, we cannot determine if they are eligible. However, based on the description alone, there is no indication of a personal expense or any other non-reimbursable category.",22.29
TXN-1133,Meals,Meals,31.18,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",15.65
TXN-1134,Miscellaneous,Miscellaneous,211.78,Misc,None,"The transaction description 'Misc' matches the policy definition for Miscellaneous category, which is used for legitimate one-off business costs that do not fit any other category. The employee's job level is not specified in the provided data, but according to the policy, only senior-level employees are eligible for this category.",19.51
TXN-1135,Office Supplies,Office Supplies,350.75,"Office chair + monitor arm bundle, single receipt",None,"The transaction description 'Office chair + monitor arm bundle' matches the policy definition for Office Supplies, which includes home-office equipment. The employee is senior level and above, making them eligible for this category. The amount of $350.75 is below the single-transaction limit of $500, so no approval was required.",18.17
TXN-1136,Travel,Travel,459.19,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",None,"The transaction description mentions a '3-day onsite client engagement' which indicates that the travel is for business purposes. The policy allows for reasonable and documented transport expenses, including flights and hotel stays. Therefore, the corrected category is Travel.",13.23
TXN-1137,Travel,Meals & Entertainment,248.19,"Cab fare - rainy day, client site",None,"The transaction description 'Cab fare - rainy day, client site' indicates that the expense is related to a client visit, which falls under the Meals & Entertainment category. The policy requires expenses in this category to be marked as either tied to a specific client or project, and since the client name is mentioned, it meets this condition.",16.41
TXN-1138,Meals,Meals,23.40,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",14.56
TXN-1139,Entertainment,Client Entertainment,208.60,Coffee/meal with client contact (4 people) following a successful sprint demo,None,"The transaction description mentions a 'client contact' and a 'sprint demo', indicating that the expense is related to client entertainment. The policy allows for Client Entertainment expenses, which can be submitted by employees at any level.",13.34
TXN-1140,Software,Software & Subscriptions,294.17,"Software subscription - design/collaboration tool, monthly seat renewal",None,"The transaction description mentions a 'software subscription - design/collaboration tool, monthly seat renewal', which aligns with the policy definition for Software & Subscriptions (Section 7.7). The employee's claimed category was inaccurate, but the correct category is clearly defined by the item description.",14.87
TXN-1141,Software,Software & Subscriptions,125.31,Software subscription - annual license renewal for the department,None,"The transaction description 'annual license renewal for the department' indicates a business justification is required, which aligns with the Software & Subscriptions category. The employee claimed category was 'Software', but this is not accurate according to the policy text.",13.65
TXN-1142,Meals,Meals,18.76,Working lunch alone between back-to-back meetings,None,"The transaction description 'Working lunch alone between back-to-back meetings' indicates a solo meal, which is reimbursable up to $40 for Manager-level employees and above. The employee's level is not specified in the provided data, but based on the policy, this category would be correct regardless of the employee's level.",15.59
TXN-1143,Entertainment,Meals,79.01,"Team lunch (1 person, no guests) to debrief after sprint retro",None,"The transaction description 'Team lunch (1 person, no guests) to debrief after sprint retro' indicates a meal-related expense. According to the policy, meals are eligible for reimbursement at Manager level and above, but since this employee is not specified as being at that level, it's unclear if they should be reimbursed. However, given the description, it's clear that this is a meal-related expense, so we'll categorize it as 'Meals'.",26.67
TXN-1144,Miscellaneous,Wellness / Fitness,96.18,Wellness subscription,High,"The transaction description 'Wellness subscription' matches the policy definition for non-reimbursable business expenses, specifically wellness and fitness costs. This category is never reimbursable at any level.",19.37
TXN-1145,Office Supplies,Office Supplies,425.00,Ergonomic chair and monitor stand,None,"The item description 'Ergonomic chair and monitor stand' matches the policy definition for Office Supplies, which includes home-office equipment. The employee is senior level, so they are eligible for this category. The amount of $425.00 is below the single transaction limit of $500.",16.64
TXN-1146,Miscellaneous,Travel,442.28,Trip cost,None,"The transaction description 'Trip cost' matches the policy definition for Travel expenses, which includes costs associated with business travel. The employee claimed category was Miscellaneous, but this is not accurate based on the provided information.",14.82
TXN-1147,Office Supplies,Office Supplies,204.88,Monitor for hybrid home/office setup,None,"The transaction description 'Monitor for hybrid home/office setup' matches the policy definition of Office Supplies, which includes home-office equipment. The amount $204.88 is below the single-transaction limit of $500.",13.95
TXN-1148,Software,Software & Subscriptions,166.56,Software subscription - annual license renewal for the department,None,"The transaction description 'Software subscription - annual license renewal for the department' matches the policy definition for Software & Subscriptions, which requires a business justification. The employee claimed category was inaccurate and has been corrected.",13.13
TXN-1149,Travel,Travel,38.20,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",None,The transaction description mentions a '2-day onsite client engagement' which indicates that the travel is for business purposes and related to a specific client. This matches the policy definition of Client-Billable expenses under the Travel category.,13.87
TXN-1150,Meals,Meals,9.92,Snacks for office during all-hands meeting (approx 12 people),Low,"The transaction description 'Snacks for office during all-hands meeting (approx 12 people)' indicates a group meal, which is reimbursable under the policy. However, since there are more than 4 attendees, the per-person cost exceeds $100, and the excess above $100 per person is the employee's own responsibility. The amount of $9.92 does not exceed any specific cap or limit for meals.",18.69
