Transaction_ID,Employee_Level,Department,Client,Merchant,Category,Amount,Date,Justification,violation,reasoning,execution_time_sec
TXN-1001,Executive,Engineering,Atlas Capture,GitHub,Software,218.58,2026-06-30,"Software subscription - design/collaboration tool, monthly seat renewal",Medium,"The transaction exceeds the Executive's Software & Subscriptions cap by more than 25%, resulting in a Medium violation. The justification provided is also for a legitimate business expense, supporting the claim's validity.",21.91
TXN-1002,Senior,Finance,Internal / No Client,Notion,Software,83.89,2026-06-23,"Software subscription - design/collaboration tool, monthly seat renewal",Medium,"The Senior employee's software subscription claim ($83.89) exceeds the Executive cap of $75/seat/month by more than 10%, constituting a Medium violation under policy HE-FIN-004 v3.1 merged.",20.57
TXN-1003,Manager,Marketing,BlueWave Logistics,Vapiano,Entertainment,380.00,2026-06-10,Dinner with client team (4 people) to finalize Q3 proposal,None,"The transaction is compliant with the policy as the Manager has permission to submit an Entertainment claim, and the per-person cost of $95.0 is within the cap.",33.72
TXN-1004,Manager,Engineering,Internal / No Client,Officeworks,Office Supplies,300.00,2026-06-24,general purchase,Medium,"The justification text 'general purchase' is vague, and the transaction amount is a round figure, which may indicate an attempt to circumvent approval thresholds. However, since the Manager level employee is eligible for Office Supplies claims and the per-person cost is below the cap, this is not an automatic High violation.",33.2
TXN-1005,Manager,HR,Internal / No Client,Cafe Einstein,Entertainment,314.16,2026-06-08,Team dinner a group of 2 after closing out the sprint,High,"The transaction exceeds the per-person cap for Entertainment claims, making it a High violation. The employee's level and permissions do not change this outcome.",47.34
TXN-1006,Senior,Finance,Meridian Health Systems,Marriott,Travel,276.77,2026-06-15,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",Medium,"The transaction is for 'Travel' which includes flights and hotel costs, exceeding the Manager-level flight/train cap of $600 without prior Director approval. However, this transaction is for a Senior employee, not a Manager, so it's not an automatic violation.",43.58
TXN-1007,Junior,Marketing,Internal / No Client,Hotel WiFi,Wi-Fi,8.50,2026-06-28,Hotel WiFi during client site visit,None,"The transaction meets all policy requirements for a Junior employee's Wi-Fi/Connectivity claim, including being below the cap and having a valid business justification. No violations were found.",37.2
TXN-1008,Junior,Sales,Atlas Capture,T-Mobile Hotspot,Wi-Fi,10.10,2026-06-18,Hotel WiFi during client site visit,None,"The transaction meets all policy requirements for a Junior employee to submit a Wi-Fi/Connectivity claim, including the cap check and justification. There are no structural abuse checks or other issues that would indicate a violation.",31.72
TXN-1009,Junior,Operations,Internal / No Client,Airport WiFi,Wi-Fi,12.00,2026-06-07,Airport WiFi while traveling for business,None,"The transaction is eligible, within the cap, and follows policy guidelines. The Junior employee's Wi-Fi claim for $12.00 at Airport WiFi while traveling for business is compliant with the policy.",34.35
TXN-1010,Manager,Operations,Atlas Capture,Hilton Restaurant,Entertainment,57.99,2026-06-08,Coffee/meal with client contact a group of 3 following a successful sprint demo,None,"The Manager-level employee has permission to submit Client Entertainment claims with a named client/project required, and the transaction is within the per-person cap of $100.",42.84
TXN-1011,Director,Finance,Internal / No Client,Cafe Einstein,Entertainment,119.55,2026-06-06,"Team lunch team of 5 catch-up, no client involved",Medium,"The Director employee is eligible to claim the Entertainment category, but since there is no client involved and the justification text lacks a clear business reason, this transaction is flagged as a Medium violation due to lack of context for weekend claims without a specific client reference.",40.17
TXN-1012,Director,Sales,Kestrel Finance Partners,Cafe Einstein,Entertainment,102.95,2026-06-28,Coffee/meal with client contact a group of 5 following a successful sprint demo,None,"The Director is eligible to claim Entertainment, and the per-person cost of $20.59 does not exceed the cap of $100. No other policy violations or structural abuses were found.",36.03
TXN-1013,Executive,Finance,Internal / No Client,Hilton Restaurant,Entertainment,631.24,2026-06-20,Team dinner 4 of us after closing out the sprint,High,"The transaction is for Entertainment and exceeds the per-person cap of $100. Although the employee is an Executive, they do not have internal hosting/party rights under Section 6, making this a High violation.",45.35
TXN-1014,Manager,Operations,BlueWave Logistics,Notion,Software,107.04,2026-06-22,"Software subscription - design/collaboration tool, monthly seat renewal",Medium,"The transaction is under the math cap, but it exceeds the Manager-specific cap (not explicitly stated in Appendix E). However, since Managers are eligible for Software claims, we consider this a Medium violation due to exceeding the cap by more than 25%.",39.23
TXN-1015,Manager,Finance,Atlas Capture,Cafe Einstein,Entertainment,97.02,2026-06-11,Coffee/meal with client contact (3 people) to review project milestones,None,"The transaction is within the per-person cap, and the employee has the necessary permissions for this category. There are no structural abuse checks or other issues that would flag this as a violation.",42.13
TXN-1016,Junior,HR,Meridian Health Systems,Chutnify Neukölln,Entertainment,602.72,2026-06-09,Dinner with client team team of 4 to finalize Q3 proposal,High,"Junior employee attempting to claim 'Entertainment' category without permission, and exceeding per-person cap of $100.",31.05
TXN-1017,Manager,HR,BlueWave Logistics,Ryanair,Travel,35.00,2026-06-24,"5-day onsite client engagement; covers flights and 4 nights hotel, meals billed separately",High,"The transaction involves a flight (Ryanair) without prior written approval from a Director, which is a requirement for Manager-level employees. This constitutes a High violation due to the employee's lack of basic role permissions for this transaction type.",79.64
TXN-1018,Senior,Finance,Internal / No Client,Local Pub Berlin,Entertainment,1936.00,2026-06-13,"Organized team party a group of 40, birthday celebration for a teammate",High,"The Senior employee attempted to claim a team party expense without having the necessary hosting rights, which is a clear policy violation regardless of the per-person cost being below the cap.",75.74
TXN-1019,Director,Operations,Internal / No Client,Cafe Einstein,Entertainment,93.95,2026-06-06,Project discussion,None,"The transaction is eligible for a Director employee, and the claimed amount is within the per-person cap of $100. No other policy violations were found.",39.45
TXN-1020,Executive,HR,Internal / No Client,Five Guys,Entertainment,81.11,2026-06-26,"Team lunch (1 person, no guests) to debrief after sprint retro",High,"The Executive employee submitted an 'Entertainment' claim without a named client or project attached, which is not permitted under the policy. The transaction amount ($81.11) is below the cap, but the lack of basic role permissions for this transaction type makes it an automatic High violation.",30.81
TXN-1021,Director,Finance,Meridian Health Systems,Adobe,Software,272.78,2026-06-07,Software subscription - used for client project deliverables,High,"The Director-level employee attempted to claim a software subscription for $272.78, which exceeds the per-person cap of $50/seat/month. This is an automatic violation regardless of justification or client involvement.",25.22
TXN-1022,Director,Sales,Internal / No Client,Peloton,Entertainment,60.43,2026-06-27,Monthly gym membership - stress relief,None,"The Director employee is eligible for Entertainment, and the claimed amount ($60.43) is below the per-person cap of $100. However, the justification text 'Monthly gym membership - stress relief' suggests a personal expense hidden in a wrong category, which could be considered a policy non-compliance.",35.68
TXN-1023,Senior,Engineering,Nova Retail GmbH,Uber,Travel,236.38,2026-06-19,"2-day onsite client engagement; covers flights and 1 night hotel, meals billed separately",High,"The transaction is a 'Travel' claim by a Senior employee, which is not permitted under the policy. The claimed amount exceeds the Manager-level cap for hotel claims, and as a Senior employee, this claim should have been submitted with prior Director approval or not at all.",23.78
TXN-1024,Junior,Sales,Internal / No Client,Vapiano,Entertainment,144.84,2026-06-16,Team lunch a group of 3 to plan next quarter's roadmap,High,"Junior employee attempting to submit 'Entertainment' category without permission, violating policy HE-FIN-004 v3.1 merged.",46.26
TXN-1025,Director,IT,BlueWave Logistics,Figma,Software,87.04,2026-06-28,Software subscription - used for client project deliverables,None,"The transaction is compliant with policy HE-FIN-004 v3.1 merged, as a Director is eligible to claim Software & Subscriptions, and the amount ($87.04) does not exceed the cap for Directors.",25.96
TXN-1026,Senior,Engineering,Internal / No Client,Local Pub Berlin,Entertainment,1290.56,2026-06-24,"Organized team party a group of 37, project wrap-up party",High,"The Senior employee attempted to claim a team party under the Entertainment category without having the necessary hosting rights, which is a High violation according to policy HE-FIN-004 v3.1 merged.",28.65
TXN-1027,Manager,Finance,Internal / No Client,Local Pub Berlin,Entertainment,174.25,2026-06-05,Team dinner a group of 3 after project close,None,"The transaction meets all eligibility and permission requirements for a Manager-level employee, and the per-person cost is below the cap. No structural abuse or policy non-compliance was detected.",21.88
TXN-1028,Director,Finance,Internal / No Client,FitX Gym,Entertainment,91.92,2026-06-20,Wellness subscription,Low,"The Director employee is eligible for the 'Entertainment' category, but since there's no client mentioned, it falls under internal hosting/party rights. The transaction amount ($91.92) is below the cap, and there are no other issues present.",36.47
TXN-1029,Executive,Engineering,BlueWave Logistics,Cafe Einstein,Entertainment,37.88,2026-06-15,Coffee/meal with client contact (2 people) to review project milestones,None,The transaction is compliant with policy as the Executive has permission to submit Entertainment claims and the per-person cost is below the cap. The justification text also supports a legitimate business need.,29.84
TXN-1030,Manager,IT,Internal / No Client,Microsoft 365,Software,68.83,2026-06-29,Software subscription - annual license renewal for the department,None,"The transaction is technically compliant with the policy as it falls under a category (Software) that Managers are eligible for, and the claimed amount ($68.83) does not exceed any explicitly stated cap for this level. However, since the Manager's specific Software & Subscriptions cap is not listed in Appendix E, we cannot definitively conclude compliance without further clarification.",41.35
TXN-1031,Senior,Engineering,Kestrel Finance Partners,Chutnify Neukölln,Entertainment,243.80,2026-06-06,Coffee/meal with client contact 4 of us to review project milestones,None,"The transaction is compliant with the policy as a Senior employee has submitted an Entertainment claim for a named client, and the per-person cost is within the allowed cap.",31.51
TXN-1032,Junior,Engineering,Meridian Health Systems,Local SIM Provider,Wi-Fi,14.20,2026-06-24,Airport WiFi while traveling for business,None,"The transaction meets all eligibility requirements and is within the allowed cap for Junior employees submitting Wi-Fi/Connectivity claims. The client exists, and the merchant venue is not an internal or external client.",29.59
TXN-1033,Director,Sales,Internal / No Client,IKEA,Office Supplies,188.61,2026-06-30,Monitor for hybrid home/office setup,None,"The transaction appears to be compliant with the policy, as it meets all eligibility and cap requirements for a Director-level employee. The justification text is clear and specific to the purchase of an office monitor.",28.75
TXN-1034,Senior,Marketing,Internal / No Client,Cafe Einstein,Entertainment,142.77,2026-06-21,Meeting,High,"The Senior employee lacks basic role permissions for internal entertainment, making the transaction a High-level violation regardless of the cap being met.",33.13
TXN-1035,Executive,Operations,Internal / No Client,Local Pub Berlin,Entertainment,95.95,2026-06-29,Team dinner 3 of us after project close,None,"The transaction meets all eligibility criteria and is within the allowed cap for per-person expenses in the Entertainment category. The employee's level (Executive) allows them to submit this type of claim, and there are no indications of structural abuse or policy non-compliance.",24.28
TXN-1036,Senior,Engineering,Atlas Capture,Cafe Einstein,Entertainment,129.10,2026-06-25,Coffee/meal with client contact (5 people) following a successful sprint demo,None,"The transaction is compliant with policy as it involves Client Entertainment with a named client ('Atlas Capture'), and the per-person cost ($25.82) is below the cap.",21.35
TXN-1037,Executive,Engineering,Internal / No Client,Officeworks,Office Supplies,222.80,2026-06-15,Monitor for hybrid home/office setup,None,"The transaction meets all eligibility criteria, is below the cap for Office Supplies, and does not show any signs of structural abuse. The justification provided ('Monitor for hybrid home/office setup') seems reasonable for an office supply purchase.",25.63
TXN-1038,Senior,Finance,Internal / No Client,Five Guys,Meals,33.02,2026-06-03,Solo lunch while working late on month-end close,High,"Senior employee attempting to claim a 'Meals' category, which is explicitly prohibited for their level according to policy text in Section 6 and Section 7.1.",29.75
TXN-1039,Junior,Engineering,BlueWave Logistics,Boingo Wireless,Wi-Fi,14.99,2026-06-19,Hotel WiFi during business travel,None,"The transaction meets all policy requirements for a Junior employee, including category eligibility and cap compliance. The justification text is clear and valid, indicating that the expense was incurred during business travel.",33.35
TXN-1040,Manager,Finance,Internal / No Client,Local Pub Berlin,Entertainment,213.04,2026-06-14,Team dinner 2 of us after closing out the sprint,None,"The transaction meets all policy requirements for a Manager employee to submit an Entertainment claim. The per-person cost is within the cap, and there's no indication of structural abuse or personal expense hidden in a wrong category.",56.7
TXN-1041,Executive,Engineering,BlueWave Logistics,Amazon,Miscellaneous,27.18,2026-06-14,Small hardware adapter needed for client presentation,None,"The transaction meets all eligibility criteria and is within the allowed amount for an Executive employee's Miscellaneous claim. The justification provided is specific, and there are no signs of structural abuse or policy non-compliance.",27.85
TXN-1042,Junior,IT,Internal / No Client,Local Pub Berlin,Entertainment,1449.30,2026-06-13,"Organized team party (30 people), project wrap-up party",High,"Junior employee submitted an Entertainment claim without permission and lacks hosting rights, violating policy HE-FIN-004 v3.1 merged.",28.65
TXN-1043,Junior,Operations,BlueWave Logistics,Hilton,Travel,199.99,2026-06-19,"Cab ride, was running late for the client meeting",High,"Junior employee attempting to claim Travel category with a total amount of $199.99, which is above the Manager-level cap and exceeds Junior's basic role permissions.",26.12
TXN-1044,Manager,IT,Kestrel Finance Partners,Chutnify Neukölln,Entertainment,210.28,2026-06-26,Dinner with client team a group of 2 to finalize Q3 proposal,None,"The transaction is compliant with all policy requirements, including category eligibility, client validation, and cap checks. The claimed amount is within the allowed per-person limit for Entertainment claims by a Manager-level employee.",55.94
TXN-1045,Junior,Engineering,Internal / No Client,The Grand Bar (private room),Entertainment,1743.44,2026-06-06,"Organized team party (37 people), birthday celebration for a teammate",High,"Junior employee submitted an Entertainment claim for a team party, which is not permitted under policy. This is a High violation regardless of the per-person cost.",40.2
TXN-1046,Director,HR,Internal / No Client,PayPal Transfer,Miscellaneous,16.26,2026-06-25,Parking fee for office day,None,"The transaction meets all eligibility criteria, is within the allowed amount for a Director's claim under the Miscellaneous category, and does not indicate any structural abuse or policy non-compliance.",33.69
TXN-1047,Junior,Operations,Nova Retail GmbH,T-Mobile Hotspot,Wi-Fi,9.99,2026-06-19,Conference venue WiFi day pass,None,"The transaction meets all eligibility criteria and is within the allowed cap for Junior employees. The client exists, but the merchant venue is not an internal or external client, which does not affect the reimbursement decision in this case.",31.38
TXN-1048,Director,Engineering,Internal / No Client,Kestrel & Vine,Entertainment,117.94,2026-06-26,"Evening dinner, 2 guests",None,"The transaction meets all the eligibility criteria and does not exceed the per-person cap for Client Entertainment claims. The employee is a Director, which makes them eligible to submit this category.",39.78
TXN-1049,Junior,Operations,Nova Retail GmbH,Local SIM Provider,Wi-Fi,6.50,2026-06-19,"Hotel WiFi, client project trip",None,"The transaction meets all eligibility criteria and is within the allowed cap for Junior employees. The client exists, and the merchant venue is not an internal or external client. No structural abuse or policy non-compliance was detected.",39.81
TXN-1050,Executive,Operations,Internal / No Client,Vapiano,Entertainment,580.52,2026-06-08,Team dinner a group of 4 after closing out the sprint,High,"The transaction exceeds the per-person cap of $100 for Entertainment claims, and as an Executive, the employee is eligible to claim this category. This is a High-level violation due to the excessive amount claimed.",27.46
TXN-1051,Executive,Finance,Internal / No Client,Local Shop,Miscellaneous,247.09,2026-06-23,general purchase,Medium,"The transaction is technically compliant with the Miscellaneous category cap, but the vague justification text raises concerns about policy non-compliance. Further review is required to determine if this is a legitimate business expense or not.",21.83
TXN-1052,Junior,Finance,Internal / No Client,Hotel WiFi,Wi-Fi,11.25,2026-06-05,Airport WiFi during layover for client visit,None,"The transaction meets all policy requirements for a Junior employee to submit a Wi-Fi/Connectivity claim, and the claimed amount is within the allowed cap. The justification text also meets the requirement of stating the business reason for being away from a normal working location.",25.27
TXN-1053,Director,IT,Internal / No Client,Sixt Rent a Car,Travel,541.41,2026-06-28,"3-day travel for internal training in Frankfurt; includes train, 2 nights hotel",None,"The Director-level employee is eligible to claim the 'Travel' category, and there is no per-person cap mentioned in Appendix E. The transaction justification seems reasonable for an internal training trip.",29.21
TXN-1054,Manager,Finance,Internal / No Client,Local Bakery,Meals,10.99,2026-06-24,Breakfast meeting with manager to review weekly priorities (2 people),None,The transaction is compliant with all policy requirements for a Manager-level employee submitting a meal claim at a Local Bakery.,48.21
TXN-1055,Manager,IT,Nova Retail GmbH,Hilton Restaurant,Entertainment,179.68,2026-06-17,Coffee/meal with client contact team of 4 to walk through Q3 deliverables,High,"The transaction involves Client Entertainment with a named client/project, but the claimed amount exceeds the per-person cap of $100. This is a High violation due to the clear policy non-compliance.",23.78
TXN-1056,Senior,Engineering,Internal / No Client,Hilton Event Hall,Entertainment,1737.68,2026-06-30,"Organized team party 29 of us, casual Friday team party",High,"The Senior employee lacks basic role permissions for submitting team party claims, making this a High-level violation regardless of the per-person cost exceeding the cap.",24.03
TXN-1057,Senior,Engineering,Kestrel Finance Partners,Marriott,Travel,613.97,2026-06-06,"3-day onsite client engagement; covers flights and 2 nights hotel, meals billed separately",High,"The transaction exceeds the per-person cap for Travel (flights and trains) at the Senior level, making it a High violation.",25.99
TXN-1058,Junior,Operations,Kestrel Finance Partners,Airport WiFi,Wi-Fi,13.80,2026-06-09,Hotel WiFi during overnight business trip,None,"The Junior employee is eligible to claim Wi-Fi/Connectivity expenses, and the amount claimed ($13.80) is within the allowed cap of $15 per instance. The justification provided aligns with the policy's requirements for this category.",23.89
TXN-1059,Manager,HR,Internal / No Client,Cash Withdrawal,Miscellaneous,264.91,2026-06-04,general purchase,High,"Manager-level employee attempting to claim Miscellaneous category, which is only eligible for Senior level and above. This is a clear policy non-compliance.",21.8
TXN-1060,Executive,Finance,Internal / No Client,Büro König,Office Supplies,251.60,2026-06-20,Replacement keyboard and mouse for desk setup,None,"The transaction meets all eligibility criteria, is below the cap for Office Supplies, and does not show any signs of structural abuse. The justification provided ('Replacement keyboard and mouse for desk setup') seems reasonable for an office supply purchase.",22.93
TXN-1061,Senior,HR,Meridian Health Systems,Cafe Einstein,Entertainment,205.23,2026-06-10,Coffee/meal with client contact a group of 3 following a successful sprint demo,None,"The transaction meets all eligibility criteria and does not exceed the per-person cap for Entertainment claims. The client is named, and the justification mentions a business purpose with the client contact group.",22.95
TXN-1062,Senior,Sales,Kestrel Finance Partners,Zoom,Software,284.24,2026-06-28,Software subscription - annual license renewal for the department,Medium,"The transaction is for Software & Subscriptions, which is eligible for Senior employees. However, the claimed amount ($284.24) exceeds the Executive cap by more than 25%, making it a Medium violation.",23.12
TXN-1063,Junior,Engineering,Internal / No Client,Amazon,Office Supplies,480.00,2026-06-02,Bulk office furniture order for the floor,High,"Junior employee attempting to claim Office Supplies category, which they are not eligible for. Transaction amount is below the cap, but policy non-compliance takes precedence over mathematical compliance.",22.26
